"name (S)","cuisine (S)","loc_src (S)"
"KFC","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55446.94236919902!2d-95.44725835557847!3d29.707188227100342!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5fe55f38fa524b56!2sKFC!5e0!3m2!1sen!2sus!4v1532699495182"
"Kenny & Ziggy's","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d156839.18073110003!2d-95.59075745728272!3d29.699716001944445!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xfd5984cd00697e7a!2sKenny+and+Ziggy's!5e0!3m2!1sen!2sus!4v1532701872544"
"Killen's (Pearland)","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3470.3608492623143!2d-95.28446518425385!3d29.56410234805663!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x86409116dc22011d%3A0x6c965186024b2148!2sKillen&#39;s+Barbecue!5e0!3m2!1sen!2sus!4v1532702154756"
"Lenny's","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d46650.29245428217!2d-95.42163604511337!3d29.652959437039723!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x4889ef1dde6cbcd8!2sLennys+Grill+%26+Subs!5e0!3m2!1sen!2sus!4v1532702192099"
"Little Woodrow's","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55445.647640333445!2d-95.43634720289855!3d29.70953304890502!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x8f741a156cdf0faa!2sLittle+Woodrow's+Bellaire!5e0!3m2!1sen!2sus!4v1532696378385"
"Luby's","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d32968.207373190155!2d-95.43634719768497!3d29.709447652441263!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x80509834184f78be!2sLuby's!5e0!3m2!1sen!2sus!4v1532696328897"
"Luling City Market","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3464.5391021281293!2d-95.45950238425168!3d29.733107240166323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c172cc353085%3A0x38f31f309caeec3a!2sLuling+City+Market!5e0!3m2!1sen!2sus!4v1532702357405"
"Maggiano's Little Italy","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55442.38453823099!2d-95.49954283332296!3d29.715441951871924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x90fe0eac6756f44e!2sMaggiano's+Little+Italy!5e0!3m2!1sen!2sus!4v1532702392893"
"McDonald's","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55442.30728743283!2d-95.4995428480686!3d29.7155818265185!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5cfe30204c5f07ee!2sMcDonald's!5e0!3m2!1sen!2sus!4v1532702428933"
"Molina's Cantina","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55442.23003643364!2d-95.49954286281424!3d29.715721700930782!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf1a88006b6dbd225!2sMolina's+Cantina!5e0!3m2!1sen!2sus!4v1532702468621"
"Morton's","Steak","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55442.15278523343!2d-95.49954287755982!3d29.715861575108764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7f18fd17f8eba5b1!2sMorton's+The+Steakhouse!5e0!3m2!1sen!2sus!4v1532702516027"
"Ninfa's (Navigation)","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55447.92101665342!2d-95.4547392729206!3d29.705415733673153!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x2fbefdd8fc0214db!2sThe+Original+Ninfa&#39;s+on+Navigation!5e0!3m2!1sen!2sus!4v1532702598135"
"Old Hickory Inn","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d221791.03376542366!2d-95.55980259777371!3d29.705710191253083!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x916210b2feee8c96!2sOld+Hickory+Inn+Barbecue!5e0!3m2!1sen!2sus!4v1532702639080"
"Olive Garden","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d65955.25378923265!2d-95.44065010050026!3d29.680745887512366!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x6f34cb3fa35247d6!2sOlive+Garden+Italian+Restaurant!5e0!3m2!1sen!2sus!4v1532702683152"
"Panda Express","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110922.89162703634!2d-95.44065012136107!3d29.68091022499185!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb010472e26c9da5!2sPanda+Express!5e0!3m2!1sen!2sus!4v1532702735937"
"Panera Bread","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110922.6031396826!2d-95.44065018036574!3d29.681171676363615!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x8e5b13480c1cdbb8!2sPanera+Bread!5e0!3m2!1sen!2sus!4v1532702775631"
"Pappa's","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110922.31465109503!2d-95.44065023937023!3d29.681433126760478!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xbb69e4151844bf60!2sPappas+Bar-B-Q!5e0!3m2!1sen!2sus!4v1532702809593"
"Pappa's Bros","Steak","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110922.0261612735!2d-95.44065029837456!3d29.68169457618246!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xbc27f801def76ed!2sPappas+Bros.+Steakhouse!5e0!3m2!1sen!2sus!4v1532702844424"
"Pappa's Burgers (Westheimer)","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3464.3835945659403!2d-95.4833416842516!3d29.73760963995561!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c3d9109141cd%3A0x50c037709016608a!2sPappas+Burger!5e0!3m2!1sen!2sus!4v1532696437331"
"Pappadeaux","Seafood","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110897.8330154223!2d-95.47319324191955!3d29.70361263506333!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe9b12823ee27dff3!2sPappadeaux+Seafood+Kitchen!5e0!3m2!1sen!2sus!4v1532631567801"
"Pappasito's","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110921.73767021805!2d-95.44065035737877!3d29.68195602462954!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xeda4caa89ae341d8!2sPappasito's+Cantina!5e0!3m2!1sen!2sus!4v1532702921985"
"Paulie's PoBoys","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.4964366582367!2d-95.440008784252!3d29.705375941463693!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c1b485a67537%3A0x897f4c2b88d824b!2sPaulie's+Poboys!5e0!3m2!1sen!2sus!4v1532702957953"
"Pink's Pizza","Pizza","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55447.90180576297!2d-95.47283945558436!3d29.70545052871804!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf87c686ed6227d37!2sPink's+Pizza!5e0!3m2!1sen!2sus!4v1532703088627"
"Pizza Hut","Pizza","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55447.82456932882!2d-95.47283947033148!3d29.705590420100034!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9f85e64267ed1c93!2sPizza+Hut+Express!5e0!3m2!1sen!2sus!4v1532703265390"
"Popeye's","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55447.747332693485!2d-95.4728394850786!3d29.705730311247727!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xa9721b4ae786965e!2sPopeyes+Louisiana+Kitchen!5e0!3m2!1sen!2sus!4v1532703304350"
"Pronto's","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1732.7683098395692!2d-95.4259449159685!3d29.70421143750944!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe0ecdc834fb7a230!2sPronto+Cucinino!5e0!3m2!1sen!2sus!4v1532703352030"
"Qin Dynasty","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3464.7104969330626!2d-95.42918958425174!3d29.728144140398676!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c0f9a6a82923%3A0xe978acd17a2584bd!2sQin+Dynasty!5e0!3m2!1sen!2sus!4v1532703383132"
"Quizno's","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55435.32675260494!2d-95.46202025550765!3d29.728218707517172!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x6e5afec9f7d265d!2sQuiznos!5e0!3m2!1sen!2sus!4v1532703427509"
"Raising Canes","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55435.24948345286!2d-95.46202027025143!3d29.728358560758053!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xae3089593b6fd89c!2sRaising+Cane's+Chicken+Fingers!5e0!3m2!1sen!2sus!4v1532703464974"
"Ray's BBQ Shack","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.5824597501523!2d-95.35882698425215!3d29.702882941580395!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640be484932d02b%3A0x910c06dac82daaad!2sRay's+BBQ+Shack!5e0!3m2!1sen!2sus!4v1532703504310"
"Red River Ice House","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.5607872523033!2d-95.43283408425242!3d29.674517042906327!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640ea8164b105e1%3A0x2c6c3b767fa2e4fa!2sRed+River+Ice+House!5e0!3m2!1sen!2sus!4v1532703539478"
"Russo's NY Pizza","Pizza","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d65961.08217612159!2d-95.4182731437138!3d29.671861079963488!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x1bad67c664df6562!2sRusso's+New+York+Pizza!5e0!3m2!1sen!2sus!4v1532703643199"
"Ruth's Chris","Steak","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d90606.91290335952!2d-95.64592097155682!3d29.694739127552683!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x72fa09b530223004!2sRuth's+Chris+Steak+House!5e0!3m2!1sen!2sus!4v1532703689087"
"Salata","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110906.40007213606!2d-95.56180693622474!3d29.695852892804496!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x47f95ddd72db8af2!2sSalata!5e0!3m2!1sen!2sus!4v1532703728072"
"Saltgrass","Steak","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110906.11151429905!2d-95.56180699522058!3d29.69611428845363!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb6f89860c9d15063!2sSaltgrass+Steak+House!5e0!3m2!1sen!2sus!4v1532703767056"
"Silver Palace Chinese Buffet","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.1226231806927!2d-95.43887359925921!3d29.705407215567785!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c1b6a0f3d111%3A0x905e0a90c3a93b11!2sSilver+Palace+Chinese+Buffet!5e0!3m2!1sen!2sus!4v1532703820656"
